astrophyllite	K2Na(Fe,Mn)7Ti2Si8O26(OH)4F
atacamite	Cu2Cl(OH)3
atelestite	Bi2O(OH)(AsO4)
athabascaite	Cu5Se4
atheneite	(Pd,Hg)3As
atlasovite	Cu6FeBiO4(SO4)5.KCl
atokite	(Pd,Pt)3Sn
attakolite	(Ca,Sr)Mn(Al,Fe)4[(Si,P)O4]H(PO4)3(OH)4
aubertite	CuAl(SO4)2Cl
augelite	Al2(PO4)(OH)3
augite	(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6
aurichalcite	(Zn,Cu)5(CO3)2(OH)6
auricupride	Cu3Au
auroantimonate	AuSbO3
aurorite	(Mn,Ag,Ca)Mn3O7
aurostibite	AuSb2
austinite	CaZn(AsO4)(OH)
autunite	Ca(UO2)2(PO4)2.10-12H2O
avicennite	Tl2O3
avogadrite	(K,Cs)BF4
azoproite	(Mg,Fe)2(Fe,Ti,Mg)BO5
azurite	Cu3(CO3)2(OH)2
babefphite	BaBe(PO4)(F,O)
babingtonite	Ca2(Fe,Mn)FeSi5O14(OH)
babkinite	Pb2Bi2(S,Se)3
baddeleyite	ZrO2
bafertisite	Ba(Fe,Mn)2TiSi2O7(O,OH)2
baghdadite	Ca12(Zr,Ti)4(Si2O7)4(O,F)8
bahianite	Al5Sb3O14(OH)2
baileychlore	(Zn,Fe,Al,Mg)6(Si,Al)4O10(OH)8
bakerite	Ca4B4(BO4)(SiO4)3(OH)3.H2O
bakhchisaraitsevite	Na2Mg5(PO4)4
baksanite	Bi6(Te2S3)
balangeroite	(Mg,Fe,Fe,Mn)42Si16O54(OH)40
balavinskite	Sr2B6O11
balipholite	BaMg2LiAl3Si4O12(OH,F)8
balkanite	Cu9Ag5HgS8
balyakinite	CuTeO3
bambollaite	Cu(Se,Te)2
bamfordite	FeMo2O6(OH)3.H2O
banalsite	BaNa2Al4Si4O16
bandylite	CuB(OH)4Cl
bannisterite	KCa(Mn,Fe,Zn)21(Si,Al)32O76(OH)16
baotite	Ba4(Ti,Nb)8Si4O28Cl
bararite	(NH4)2SiF6
baratovite	KCa7(Ti,Zr)2Li3Si12O36F2
barberiite	(NH4)BF4
barbertonite	Mg6Cr2(CO3)(OH)16
barbosalite	FeFe2(PO4)2(OH)2
barentsite	Na7AlH2(CO3)4F4
bariandite	Al3(V,V)40O100
baricite	(Mg,Fe,Fe)3(PO4)2.8(H2O,OH)
bariomicrolite	Ba2(Ta,Nb)2(O,OH)7
barioorthojoaquinite	(Ba,Sr)4Fe2Ti2Si8O26.H2O
bariopyrochlore	(Ba,Sr)2(Nb,Ti)2(O,OH)7
bariosincosite	(Ba,Sr)(VOPO4)2
barite	BaSO4
bariumalumopharmacosiderite	Ba(Al,Fe)4(AsO4)3(OH)5
bariumpharmacosiderite	BaFe4(AsO4)3(OH)5
barnesite	(Na,Ca)2V6O16
barquillite	Cu2(Cd,Fe)GeS4
barrerite	Na2[Al2Si7O18]
barringerite	(Fe,Ni)2P
barroisite	[](CaNa)Mg3AlFeSi7AlO22(OH)2
bartelkeite	PbFeGe3O8
bartonite	K3Fe10S14
barylite	BaBe2Si2O7
barysilite	Pb8Mn(Si2O7)3
barytocalcite	BaCa(CO3)2
barytolamprophyllite	(Na,K)2(Ba,Ca,Sr)2(Ti,Fe)3(SiO4)4(O,OH)2
bassanite	2CaSO4.H2O
bassetite	Fe(UO2)2(PO4)2
bastnasite-(ce)	(Ce,La)(CO3)F
bastnasite-(la)	(La,Ce)(CO3)F
bastnasite-(y)	(Y,Ce)(CO3)F
batiferrite	Ba[Ti2Fe8Fe2]O19
batisite	(Ba,K,Na)3Ti2Si4O14
baumhauerite	Pb3As4S9
baumstarkite	AgSbS2
bauranoite	BaU2O7.4-5H2O
bavenite	Ca4Be2Al2Si9O26(OH)2
bayerite	Al(OH)3
bayldonite	(Cu,Zn)3Pb(AsO4)2(OH)2
bayleyite	Mg2(UO2)(CO3)3
baylissite	K2Mg(CO3)2
bazhenovite	CaS5.CaS2O3.6Ca(OH)2
bazirite	BaZrSi3O9
bazzite	Be3(Sc,Al)2Si6O18
bearsite	Be2(AsO4)(OH)
bearthite	Ca2Al(PO4)2(OH)
beaverite	Pb(Cu,Fe,Al)6(SO4)4(OH)12
bechererite	Zn7Cu(OH)13[SiO(OH)3](SO4)
becquerelite	Ca(UO2)6O4(OH)6
bederite	[]Ca2Mn2Fe2Mn2(PO4)6
behierite	(Ta,Nb)BO4
behoite	Be(OH)2
beidellite	(Na,Ca0,5)0,3Al2(Si,Al)4O10(OH)2.nH2O
belendorffite	Cu7Hg6
belkovite	Ba3(Nb,Ti)6(Si2O7)2O12
bellbergite	(K,Ba,Sr)2Sr2Ca2(Ca,Na)4[Al18Si18O72]
